ad_id,xyzCampId,fbCampId,interest,impr,Clicks,Spent,conv,appConv,totConv,appConVal,conVal,totConVal,CPM,costPerCon,ROAS,gender_F,gender_M,age_30-34,age_35-39,age_40-44,age_45-49
1121091,1178,144531,10,1194718,141,254.049996,28,14,42,1400,140,1540,0.212644319413,6.04880942857,6.06179895394,0,1,1,0,0,0
1121092,1178,144531,10,637648,67,122.4,13,5,18,500,65,565,0.191955436228,6.8,4.6160130719,0,1,1,0,0,0
1121094,1178,144531,10,24362,0,0.0,1,1,2,100,5,105,0.0,0.0,inf,0,1,1,0,0,0
1121095,1178,144531,10,459690,50,86.33000112,5,2,7,200,25,225,0.187800476669,12.3328573029,2.60627820087,0,1,1,0,0,0
1121096,1178,144531,10,750060,86,161.9099991,11,2,13,200,55,255,0.215862729782,12.4546153154,1.57494905452,0,1,1,0,0,0
1121097,1178,144532,15,30068,1,1.820000052,1,0,1,0,5,5,0.0605294682719,1.820000052,2.74725266876,0,1,1,0,0,0
1121098,1178,144532,15,1267550,123,236.7699986,24,10,34,1000,120,1120,0.186793419273,6.96382348824,4.73032903925,0,1,1,0,0,0
1121100,1178,144532,15,3052003,340,639.9499981,60,17,77,1700,300,2000,0.209681968891,8.31103893636,3.12524416898,0,1,1,0,0,0
1121101,1178,144532,15,29945,1,1.590000033,2,1,3,100,10,110,0.0530973462348,0.530000011,69.1823885012,0,1,1,0,0,0
1121102,1178,144532,15,357856,30,52.97000015,7,3,10,300,35,335,0.148020433219,5.297000015,6.32433451107,0,1,1,0,0,0
1121104,1178,144533,16,2080666,202,360.1500015,40,21,61,2100,200,2300,0.173093615938,5.90409838525,6.38622793397,0,1,1,0,0,0
1121105,1178,144533,16,145999,9,16.5200001,5,2,7,200,25,225,0.113151460626,2.36000001429,13.6198546391,0,1,1,0,0,0
1121107,1178,144533,16,32616,1,1.539999962,2,0,2,0,10,10,0.0472160890974,0.769999981,6.49350665374,0,1,1,0,0,0
1121108,1178,144533,16,984521,95,163.8999972,26,14,40,1400,130,1530,0.166476893027,4.09749993,9.33496050115,0,1,1,0,0,0
1121110,1178,144534,18,880814,123,210.3600006,6,2,8,200,30,230,0.238824542525,26.295000075,1.09336375425,0,1,1,0,0,0
1121111,1178,144534,18,182452,20,35.73000026,4,1,5,100,20,120,0.195832329928,7.146000052,3.35852222577,0,1,1,0,0,0
1121113,1178,144534,18,894911,120,215.8399994,7,4,11,400,35,435,0.241185994361,19.6218181273,2.01538176987,0,1,1,0,0,0
1121114,1178,144534,18,31349,2,3.800000072,1,0,1,0,5,5,0.121215990048,3.800000072,1.31578944875,0,1,1,0,0,0
1121115,1178,144535,19,410310,55,96.80000055,3,0,3,0,15,15,0.235919184397,32.26666685,0.154958676806,0,1,1,0,0,0
1121116,1178,144535,19,572450,89,157.329998,7,4,11,400,35,435,0.274836226745,14.3027270909,2.76488912178,0,1,1,0,0,0
1121117,1178,144535,19,98759,15,26.56999946,1,1,2,100,5,105,0.269038765682,13.28499973,3.95182544727,0,1,1,0,0,0
1121119,1178,144535,19,345371,54,93.08999991,7,3,10,300,35,335,0.269536237582,9.308999991,3.59866795922,0,1,1,0,0,0
1121121,1178,144536,20,323899,46,78.9200002,5,1,6,100,25,125,0.243656202088,13.1533333667,1.58388240856,0,1,1,0,0,0
1121122,1178,144536,20,399199,58,103.1500002,3,0,3,0,15,15,0.258392431344,34.3833334,0.145419292011,0,1,1,0,0,0
1121123,1178,144536,20,171202,22,36.53000021,3,1,4,100,15,115,0.213373676768,9.1325000525,3.14809743605,0,1,1,0,0,0
1121124,1178,144536,20,128386,15,28.85000002,2,1,3,100,10,110,0.224712975091,9.61666667333,3.81282495403,0,1,1,0,0,0
1121125,1178,144536,20,1034284,152,257.7099986,20,9,29,900,100,1000,0.249167538703,8.88655167586,3.88033062525,0,1,1,0,0,0
1121126,1178,144536,20,45923,5,7.220000148,2,0,2,0,10,10,0.157219697058,3.610000074,1.38504152286,0,1,1,0,0,0
1121127,1178,144537,21,40873,4,7.899999976,2,1,3,100,10,110,0.193281627872,2.63333332533,13.9240506752,0,1,1,0,0,0
1121128,1178,144537,21,286553,34,62.06000042,2,1,3,100,10,110,0.216574247766,20.6866668067,1.77247823486,0,1,1,0,0,0
1121129,1178,144537,21,20618,1,2.099999905,2,1,3,100,10,110,0.101852745417,0.699999968333,52.3809547506,0,1,1,0,0,0
1121131,1178,144537,21,83591,7,14.14000046,2,2,4,200,10,210,0.169156972162,3.535000115,14.8514846654,0,1,1,0,0,0
1121132,1178,144537,21,114923,12,23.73000026,4,2,6,200,20,220,0.206486084248,3.95500004333,9.2709649216,0,1,1,0,0,0
1121133,1178,144538,22,25002,1,1.710000038,1,0,1,0,5,5,0.0683945299576,1.710000038,2.92397654321,0,1,1,0,0,0
1121134,1178,144538,22,68905,5,9.440000057,1,0,1,0,5,5,0.137000218518,9.440000057,0.529661013751,0,1,1,0,0,0
1121136,1178,144538,22,169588,16,27.79999924,1,0,1,0,5,5,0.163926688445,27.79999924,0.179856120025,0,1,1,0,0,0
1121138,1178,144538,22,328991,35,67.65000057,5,2,7,200,25,225,0.205628727138,9.66428579571,3.32594232231,0,1,1,0,0,0
1121141,1178,144539,23,23198,2,2.980000019,1,0,1,0,5,5,0.128459350763,2.980000019,1.6778523383,0,1,1,0,0,0
1121142,1178,144539,23,26890,2,3.24000001,1,0,1,0,5,5,0.120490889178,3.24000001,1.54320987178,0,1,1,0,0,0
1121143,1178,144539,23,221695,31,52.26000011,5,2,7,200,25,225,0.235729268184,7.46571430143,4.30539608738,0,1,1,0,0,0
1121152,1178,144541,24,88443,7,13.0400002,1,1,2,100,5,105,0.147439596124,6.5200001,8.05214711576,0,1,1,0,0,0
1121153,1178,144541,24,187856,23,38.38999975,5,1,6,100,25,125,0.204358656364,6.39833329167,3.25605628586,0,1,1,0,0,0
1121164,1178,144545,25,570699,80,138.7699997,9,2,11,200,45,245,0.243157951389,12.6154545182,1.76551128147,0,1,1,0,0,0
1121167,1178,144545,25,1063508,145,260.3800013,23,7,30,700,115,815,0.244831257781,8.67933337667,3.1300406941,0,1,1,0,0,0
1121168,1178,144545,25,50523,6,8.549999952,1,0,1,0,5,5,0.169229854759,8.549999952,0.58479532492,0,1,1,0,0,0
1121172,1178,144547,26,87935,9,15.63000023,1,0,1,0,5,5,0.177744927844,15.63000023,0.31989762805,0,1,1,0,0,0
1121173,1178,144547,26,278225,33,60.19999957,3,0,3,0,15,15,0.216371640111,20.0666665233,0.249169436996,0,1,1,0,0,0
